S/N,Category,Intent Type,Question/Article,Answer,1,Digital Club Free Trial,Unnamed: 2,Am I eligible for the 1 month free trial on FairPrice Digital Club?,"All FairPrice online customers who have not been a Digital Club member for the past 6 months are eligible for the 1st-month free trial. To check your eligibility, visit the sign-up page with your registered account.

Eligible customers will be able to see $0.00 on the payment page for their 1st month subscription. "
34,Promotion and Promo Codes,,How do I enjoy the promo for $30 off 4 purchases?,"You can receive up to 7 promo codes in total ($10*, $5*+ $4^, $5 + $4^, $10*+ $4^) with this promotion. To receive these promo codes, you must be a new customer online at FairPrice as of 20 Feb 2023. 

Here’s how it works:

Create your FairPrice account online
Note: You have to check the box and consent to marketing communications if you want to receive these promo codes and future discounts.
Your first promo code for $10* and further details will be emailed to you within the same day.
Your second promo code for $5*, with an additional $4^ off to waive off the $3.99 service fee, will be emailed to you after you make your first purchase. 
Your third promo code for $5*,  with an additional $4^ off to waive off the $3.99 service fee, will be emailed to you after you make your second purchase. 
Your fourth promo code for $10*, with an additional $4^ off to waive off the $3.99 service fee, will be emailed to you after you make your third purchase.
*$10 off minimum $59 spend, $5 off minimum $79 spend.

^$4 off minimum $59 spend.",,,,,
,,,use 30 off 4 orders promo,"You can receive up to 7 promo codes in total ($10*, $5*+ $4^, $5 + $4^, $10*+ $4^) with this promotion. To receive these promo codes, you must be a new customer online at FairPrice as of 20 Feb 2023. 

Here’s how it works:

Create your FairPrice account online
Note: You have to check the box and consent to marketing communications if you want to receive these promo codes and future discounts.
Your first promo code for $10* and further details will be emailed to you within the same day.
Your second promo code for $5*, with an additional $4^ off to waive off the $3.99 service fee, will be emailed to you after you make your first purchase. 
Your third promo code for $5*,  with an additional $4^ off to waive off the $3.99 service fee, will be emailed to you after you make your second purchase. 
Your fourth promo code for $10*, with an additional $4^ off to waive off the $3.99 service fee, will be emailed to you after you make your third purchase.
*$10 off minimum $59 spend, $5 off minimum $79 spend.

^$4 off minimum $59 spend.",,,,,
35,Promotion and Promo Codes,,"I created my account, but I did not receive an email with a promo code.","We will email you your promo code within 24 hours of your registration. If you do not receive the confirmation by then, it's possible that you opted not to receive marketing communications when registering your account.

For further assistance to redeem your promo codes, please submit your query via the form below
https://help.fairprice.com.sg/hc/en-us/requests/new",,,,,
,,,no email with promo after sign up,"We will email you your promo code within 24 hours of your registration. If you do not receive the confirmation by then, it's possible that you opted not to receive marketing communications when registering your account.

For further assistance to redeem your promo codes, please submit your query via the form below
https://help.fairprice.com.sg/hc/en-us/requests/new",,,,,
36,Promotion and Promo Codes,HTML Formatted,How do i use my promo code? ,"Please log into your account before applying any promo code and key in your promo code at the shopping cart. 

You may wish to check that your promo code is reflected before checking out.   

Promo codes will only apply when minimum spend amount or criteria is met for eligible customers. For full T&C, please click here and do a keyword search on the specific campaign. An illustration is attached below.
https://help.fairprice.com.sg/hc/en-us/sections/360003810592-Terms-Conditions-

For further assistance, please submit your query via the web form. 
https://help.fairprice.com.sg/hc/en-us/requests/new

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021859771-How-do-I-use-my-promo-code-",,,,,
,,HTML Formatted,Where to key in promo code?,"Please log into your account before applying any promo code and key in your promo code at the shopping cart. 

You may wish to check that your promo code is reflected before checking out.   

Promo codes will only apply when minimum spend amount or criteria is met for eligible customers. For full T&C, please click here and do a keyword search on the specific campaign. An illustration is attached below.
https://help.fairprice.com.sg/hc/en-us/sections/360003810592-Terms-Conditions-

For further assistance, please submit your query via the web form. 
https://help.fairprice.com.sg/hc/en-us/requests/new

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021859771-How-do-I-use-my-promo-code-",,,,,
,,HTML Formatted,How to apply promo code?,"Please log into your account before applying any promo code and key in your promo code at the shopping cart. 

You may wish to check that your promo code is reflected before checking out.   

Promo codes will only apply when minimum spend amount or criteria is met for eligible customers. For full T&C, please click here and do a keyword search on the specific campaign. An illustration is attached below.
https://help.fairprice.com.sg/hc/en-us/sections/360003810592-Terms-Conditions-

For further assistance, please submit your query via the web form. 
https://help.fairprice.com.sg/hc/en-us/requests/new

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021859771-How-do-I-use-my-promo-code-",,,,,
,,HTML Formatted,should I apply my promo code at checkout?,"Please log into your account before applying any promo code and key in your promo code at the shopping cart. 

You may wish to check that your promo code is reflected before checking out.   

Promo codes will only apply when minimum spend amount or criteria is met for eligible customers. For full T&C, please click here and do a keyword search on the specific campaign. An illustration is attached below.
https://help.fairprice.com.sg/hc/en-us/sections/360003810592-Terms-Conditions-

For further assistance, please submit your query via the web form. 
https://help.fairprice.com.sg/hc/en-us/requests/new

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021859771-How-do-I-use-my-promo-code-",,,,,
,,HTML Formatted,eligibility to use promo code,"Please log into your account before applying any promo code and key in your promo code at the shopping cart. 

You may wish to check that your promo code is reflected before checking out.   

Promo codes will only apply when minimum spend amount or criteria is met for eligible customers. For full T&C, please click here and do a keyword search on the specific campaign. An illustration is attached below.
https://help.fairprice.com.sg/hc/en-us/sections/360003810592-Terms-Conditions-

For further assistance, please submit your query via the web form. 
https://help.fairprice.com.sg/hc/en-us/requests/new

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021859771-How-do-I-use-my-promo-code-",,,,,
,,HTML Formatted,steps to use promo code,"Please log into your account before applying any promo code and key in your promo code at the shopping cart. 

You may wish to check that your promo code is reflected before checking out.   

Promo codes will only apply when minimum spend amount or criteria is met for eligible customers. For full T&C, please click here and do a keyword search on the specific campaign. An illustration is attached below.
https://help.fairprice.com.sg/hc/en-us/sections/360003810592-Terms-Conditions-

For further assistance, please submit your query via the web form. 
https://help.fairprice.com.sg/hc/en-us/requests/new

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021859771-How-do-I-use-my-promo-code-",,,,,
,,HTML Formatted,which process should I follow to include promo code while ordering,"Please log into your account before applying any promo code and key in your promo code at the shopping cart. 

You may wish to check that your promo code is reflected before checking out.   

Promo codes will only apply when minimum spend amount or criteria is met for eligible customers. For full T&C, please click here and do a keyword search on the specific campaign. An illustration is attached below.
https://help.fairprice.com.sg/hc/en-us/sections/360003810592-Terms-Conditions-

For further assistance, please submit your query via the web form. 
https://help.fairprice.com.sg/hc/en-us/requests/new

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021859771-How-do-I-use-my-promo-code-",,,,,
37,Promotion and Promo Codes,,Why am i receiving error messages when applying my promo code?,"Please ensure that the following conditions are met:

1. To sign in to your account prior to applying the promo code

2. The minimum spend is met (excluding shipping fee)

3. No other promo codes applied

4. Excludes Stage 1 & 2 infant milk products in the cart

5. Code cannot be used for click & collect orders

6. Use of appropriate credit card for card related promotion

If the above are met and still facing an error message, please send us screenshots of your shopping cart and the error message via the web form.
https://help.fairprice.com.sg/hc/en-us/requests/new",,,,,
,,,error message while using promo code,"Please ensure that the following conditions are met:

1. To sign in to your account prior to applying the promo code

2. The minimum spend is met (excluding shipping fee)

3. No other promo codes applied

4. Excludes Stage 1 & 2 infant milk products in the cart

5. Code cannot be used for click & collect orders

6. Use of appropriate credit card for card related promotion

If the above are met and still facing an error message, please send us screenshots of your shopping cart and the error message via the web form.
https://help.fairprice.com.sg/hc/en-us/requests/new",,,,,
38,Promotion and Promo Codes,,What happens when my promo code expires?,It is no longer applicable and will not be extended after the stated expiry date.,,,,,
,,,"My promo code expired, can i still use it?",It is no longer applicable and will not be extended after the stated expiry date.,,,,,
,,,Can I still use an expired promo code?,It is no longer applicable and will not be extended after the stated expiry date.,,,,,
39,Promotion and Promo Codes,,Do promo codes discount apply to delivery fees and service fees?,Discount promo codes only apply to the sub-total amount (cart value) and not to Home Delivery fees.,,,,,
40,Promotion and Promo Codes,,"Can I get the Seniors Discount, Pioneer Generation discount or the Merdeka Generation discount?","Seniors, Pioneer Generation and Merdeka Generation discounts aren't available online as customers have to be physically present for verification.",,,,,
41,Promotion and Promo Codes,,"I saw the free gift in my cart, but it was not shown in my order acknowledgement email. What do I do?","Please check that your order did not include purchase of Stage 1 infant milk powder and that you had purchased participating products. Otherwise, the free gift may be fully redeemed at point of check out.

If you still require assistance, please submit your feedback via our web form below.
https://help.fairprice.com.sg/hc/en-us/requests/new",,,,,
,,,no info related to free gift in order email,"Please check that your order did not include purchase of Stage 1 infant milk powder and that you had purchased participating products. Otherwise, the free gift may be fully redeemed at point of check out.

If you still require assistance, please submit your feedback via our web form below.
https://help.fairprice.com.sg/hc/en-us/requests/new",,,,,
42,Promotion and Promo Codes,,Are the prices of items on FairPrice Online and at FairPrice stores the same?,"The prices are the same except when there are exclusive promotions that are only available at FairPrice, FairPrice Finest, FairPrice Xtra and/or FairPrice Online.",,,,,
,,,online vs stores prices,"The prices are the same except when there are exclusive promotions that are only available at FairPrice, FairPrice Finest, FairPrice Xtra and/or FairPrice Online.",,,,,
43,Promotion and Promo Codes,,How do i find special promotions and discounts?,"You can browse our latest deals and promotions by going to the top of the menu on the left side of the homepage.

Look out for our Hot Deals This Week, Category Specials and Brands on Promotion.",,,,,
,,,Where to look for special promotions and discounts?,"You can browse our latest deals and promotions by going to the top of the menu on the left side of the homepage.

Look out for our Hot Deals This Week, Category Specials and Brands on Promotion.",,,,,
44,Promotion and Promo Codes,,What are the regular promotions and discounts?,"(i) Purchase With Purchase (PWP):

• This promotion allows you to purchase featured products at special prices for S$25 spent, of non PWP item, in a single order.
• Customers are limited to 4 units of each featured product per order.
• This promotion is also valid in stores.

(ii) Must Buy (MB):

• This promotion features a selected range of products that are on offer every week.

• Customers are limited to 6 units of each item per order.

• This promotion is also valid in stores.",,,,,
45,Promotion and Promo Codes,,What time will promotions with start date be effective?,"For promotions with effective start dates, they will be available to customers from 0600hrs onwards.

Should there be a slight delay in its launch, we advise you to check back a few hours later.",,,,,
,,,on which date promotion will start,"For promotions with effective start dates, they will be available to customers from 0600hrs onwards.

Should there be a slight delay in its launch, we advise you to check back a few hours later.",,,,,
,,,How to check the promotion start date and time?,"For promotions with effective start dates, they will be available to customers from 0600hrs onwards.

Should there be a slight delay in its launch, we advise you to check back a few hours later.",,,,,
46,Marketplace,,What is the Marketplace about?,"Marketplace is a platform created within FairPrice Online to enable local independent business partners to showcase niche products from Singapore and all over the world. Leveraging our online platform, FairPrice business partners sell their products directly to you. ",,,,,
47,Marketplace,HTML Formatted,How do I identify Marketplace items?,"Every time you navigate to a Marketplace product, you’ll see the seller’s store information on the right of the product description.

At the home page, you can also navigate to the  Marketplace product homepage under Highlights. 

https://help.fairprice.com.sg/hc/en-us/articles/4406593604761-How-do-I-identify-Marketplace-Items-",,,,,
,,HTML Formatted,where to find marketplace items,"Every time you navigate to a Marketplace product, you’ll see the seller’s store information on the right of the product description.

At the home page, you can also navigate to the  Marketplace product homepage under Highlights. 

https://help.fairprice.com.sg/hc/en-us/articles/4406593604761-How-do-I-identify-Marketplace-Items-",,,,,
48,Marketplace,HTML Formatted,When do I receive my Marketplace items?,"As the Marketplace products are sold by sellers, we need more time to arrange for the products to be delivered to you. The earliest delivery date is between 2 to 4 days later depending on the seller orders placed date and seller availability. Should you add a Marketplace item to your cart, you’ll see a pop-up message indicating the earliest delivery date.

https://help.fairprice.com.sg/hc/en-us/articles/4406594716441-When-do-I-receive-my-Marketplace-items-",,,,,
,,HTML Formatted,when the marketplace item be delivered,"As the Marketplace products are sold by sellers, we need more time to arrange for the products to be delivered to you. The earliest delivery date is between 2 to 4 days later depending on the seller orders placed date and seller availability. Should you add a Marketplace item to your cart, you’ll see a pop-up message indicating the earliest delivery date.

https://help.fairprice.com.sg/hc/en-us/articles/4406594716441-When-do-I-receive-my-Marketplace-items-",,,,,
49,Marketplace,,How are Marketplace items being transported to FairPrice?,"Once the order has been placed, the items will be picked up from our business partners, a day before your scheduled delivery date/time.",,,,,
,,,How Marketplace items logistics works?,"Once the order has been placed, the items will be picked up from our business partners, a day before your scheduled delivery date/time.",,,,,
50,Marketplace,,Is Marketplace wine entitled for a Just Wine Club discount?,Marketplace wine products are not eligible for JWC discount,,,,,
51,Marketplace,,Can I contact the seller for any product information?,"Please submit a request via the steps below for our customer service team to assist further. 

Step 1: Click here to go to our help centre. 

Step 2: Select ""I need help with other issues"" 

Step 3: Click on ""Product Enquiry"" for drop down and choose ""Request for Product Info"" 

Step 4: Write your comments under ""Tell us more"" and you may attach any photos if necessary.

",,,,,
,,,reach out to seller directly for queries,"Please submit a request via the steps below for our customer service team to assist further. 

Step 1: Click here to go to our help centre. 

Step 2: Select ""I need help with other issues"" 

Step 3: Click on ""Product Enquiry"" for drop down and choose ""Request for Product Info"" 

Step 4: Write your comments under ""Tell us more"" and you may attach any photos if necessary.

",,,,,
52,Marketplace,,How do I submit order issues relating to Marketplace items?,"Our sincere apologies. Please report the issue within 7 days of delivery for us to look into the matter. You may refer to this article for the steps to report via the web form. 
https://help.fairprice.com.sg/hc/en-us/articles/360021636552-How-do-I-submit-feedback-through-the-webform-",,,,,
,,,problem related to marketplae item order,"Our sincere apologies. Please report the issue within 7 days of delivery for us to look into the matter. You may refer to this article for the steps to report via the web form. 
https://help.fairprice.com.sg/hc/en-us/articles/360021636552-How-do-I-submit-feedback-through-the-webform-",,,,,
53,Marketplace,,Can I change the delivery date for my orders? Will my Marketplace items be affected?,"Marketplace items are pre-ordered items from our sellers. Amendment to an earlier date will not be available as we need to consolidate and deliver them to you.

To postpone the delivery date for home deliveries, you may inform us at least 24 hours before the scheduled delivery. Beyond 24 hours, there will be a charge of $7 for the amendment. For bulk orders, there is a fee of $30 to make the change and will be charged to the same credit card that was used.

Do note that the delivery date can be postponed only up to 7 days later and is only allowed a one-time amendment. Should you require further amendment, please cancel the order and place a new one.  

Please submit your request via the web form.
https://help.fairprice.com.sg/hc/en-us/requests/new",,,,,
,,,modification in delivery date of Marketplace items ,"Marketplace items are pre-ordered items from our sellers. Amendment to an earlier date will not be available as we need to consolidate and deliver them to you.

To postpone the delivery date for home deliveries, you may inform us at least 24 hours before the scheduled delivery. Beyond 24 hours, there will be a charge of $7 for the amendment. For bulk orders, there is a fee of $30 to make the change and will be charged to the same credit card that was used.

Do note that the delivery date can be postponed only up to 7 days later and is only allowed a one-time amendment. Should you require further amendment, please cancel the order and place a new one.  

Please submit your request via the web form.
https://help.fairprice.com.sg/hc/en-us/requests/new",,,,,
54,Direct Fulfilment from Sellers,,Where do I see and track the status of my orders?,"You may view the status of your order via the order history page. Go under My Account -> Orders. 
If you have ordered from Direct Fulfilled Marketplace sellers, your items will be grouped under the respective deliveries from each seller. 
",,,,,
,,,what is my order status?,"You may view the status of your order via the order history page. Go under My Account -> Orders. 
If you have ordered from Direct Fulfilled Marketplace sellers, your items will be grouped under the respective deliveries from each seller. 
",,,,,
,,,Have my orders been shipped?,"You may view the status of your order via the order history page. Go under My Account -> Orders. 
If you have ordered from Direct Fulfilled Marketplace sellers, your items will be grouped under the respective deliveries from each seller. 
",,,,,
,,,When is the estimated delivery time for my orders?,"You may view the status of your order via the order history page. Go under My Account -> Orders. 
If you have ordered from Direct Fulfilled Marketplace sellers, your items will be grouped under the respective deliveries from each seller. 
",,,,,
55,Direct Fulfilment from Sellers,,"How do I know if an item is a Direct Fulfiled Marketplace item or not?
","Direct Fulfiled (DF) Marketplace items can be identified at the shopping cart and checkout pages. 
In the shopping cart page, DF items will be separated from the FairPrice-fulfiled items. They will be grouped according to the sellers. 
For Direct Fulfiled Marketplace deliveries, you can also retrieve the tracking code by clicking on the individual delivery tile. Simply tap ‘Track Delivery’ and you will be directed to the external courier tracking site. Alternatively, you may copy paste the tracking code under the ‘Tracking’ field.",,,,,
,,,DF Marketplace item,"Direct Fulfiled (DF) Marketplace items can be identified at the shopping cart and checkout pages. 
In the shopping cart page, DF items will be separated from the FairPrice-fulfiled items. They will be grouped according to the sellers. 
For Direct Fulfiled Marketplace deliveries, you can also retrieve the tracking code by clicking on the individual delivery tile. Simply tap ‘Track Delivery’ and you will be directed to the external courier tracking site. Alternatively, you may copy paste the tracking code under the ‘Tracking’ field.
",,,,,
56,Direct Fulfilment from Sellers,,"Why do Direct Fulfiled Marketplace items have different delivery charges than others?
","Direct Fulfilled Marketplace items are sold and fulfilled by our third party seller partners. This means that they are working with a courier of choice to deliver the items straight to you. As the courier may have a different shipping fee, the delivery charge may be different from other items (such as FairPrice-fulfilled products).

Direct Fulfillment Marketplace items do not have Service Fees ($3.99).",,,,,
,,,will delivery fee for Direct Fulfiled Marketplace items is different,"For Direct Fulfiled Marketplace deliveries, you can also retrieve the tracking code by clicking on the individual delivery tile. Simply tap ‘Track Delivery’ and you will be directed to the external courier tracking site. Alternatively, you may copy paste the tracking code under the ‘Tracking’ field.",,,,,
57,Direct Fulfilment from Sellers,,"How do I cancel delivery from the seller? 
","Cancellation requests must be submitted to us at least 24 hours prior to the delivery date. Otherwise, there will be a $10 cancellation charge (incl. GST).

For bulk orders, cancellation after the order confirmation is subjected to a surcharge of $30 (incl. GST).

If you have applied promo code to the order, the promo code can be reused after the order is cancelled. Please apply it on a new order before the original expiry date. 
",,,,,
58,Direct Fulfilment from Sellers,,How can I make changes to the delivery order from seller eg. remove items or change delivery slot/time? ,"Due to the logistical arrangements involved, amendments to items or delivery/time slots for Direct Fulfiled Marketplace items will not be allowed. If the items are no longer needed, please cancel the whole delivery from the seller at least 24 hours before the scheduled delivery date to avoid charges. 
",,,,,
,,,amendments in order from seller,"Due to the logistical arrangements involved, amendments to items or delivery/time slots for Direct Fulfiled Marketplace items will not be allowed. If the items are no longer needed, please cancel the whole delivery from the seller at least 24 hours before the scheduled delivery date to avoid charges. 
",,,,,
,,,modification in Direct Fulfilment order  ,"Due to the logistical arrangements involved, amendments to items or delivery/time slots for Direct Fulfiled Marketplace items will not be allowed. If the items are no longer needed, please cancel the whole delivery from the seller at least 24 hours before the scheduled delivery date to avoid charges. 
",,,,,
59,Direct Fulfilment from Sellers,,"What happens when I am not home when the delivery person arrives?
","Ninjavan will re-attempt delivery the following 3 business days (up to 3 times) starting from the next day at the same customer delivery slot window.
",,,,,
,,,will you resend my order if I didn't collect it,"Ninjavan will re-attempt delivery the following 3 business days (up to 3 times) starting from the next day at the same customer delivery slot window.
",,,,,
60,Direct Fulfilment from Sellers,,"The seller canceled my order after I placed it, how do I get a refund?
","We apologise for the order cancellation. You will be notified via email of the order cancellation and rest assured that you will not be charged for unavailable items. When you first place the order, your bank holds the amount until the transaction is completed. This holding amount will not be charged to your card.

The final amount charged will be lesser than the holding amount and in accordance with the final invoice.Kindly note that duration of time for the refund to be processed and credited back into account will depend on each bank.
",,,,,
,,,When I'll get my payment back after seller cancel my  order,"We apologise for the order cancellation. You will be notified via email of the order cancellation and rest assured that you will not be charged for unavailable items. When you first place the order, your bank holds the amount until the transaction is completed. This holding amount will not be charged to your card.

The final amount charged will be lesser than the holding amount and in accordance with the final invoice.Kindly note that duration of time for the refund to be processed and credited back into account will depend on each bank.
",,,,,
,,,Didn't receive my money as my seller cancelled the order,"We apologise for the order cancellation. You will be notified via email of the order cancellation and rest assured that you will not be charged for unavailable items. When you first place the order, your bank holds the amount until the transaction is completed. This holding amount will not be charged to your card.

The final amount charged will be lesser than the holding amount and in accordance with the final invoice.Kindly note that duration of time for the refund to be processed and credited back into account will depend on each bank.
",,,,,
61,Substituition,,"What is Substitution, and the items available for substitution?","It is part of our service to provide an alternative in case the item you ordered was not available on the day of your delivery. Once you opt in for this service, we will substitute with an item of similar or better quality in the event that the original item is unavailable at delivery day - at no extra cost!

Substitution is available for selected fruits, vegetables, meats and condiments.",,,,,
,,,What is the process of alternate items if my item is not available?,"It is part of our service to provide an alternative in case the item you ordered was not available on the day of your delivery. Once you opt in for this service, we will substitute with an item of similar or better quality in the event that the original item is unavailable at delivery day - at no extra cost!

Substitution is available for selected fruits, vegetables, meats and condiments.",,,,,
62,Substituition,,Will I get substituted a lower price item?,"No, you will not. We will substitute with a similar or better quality item.

",,,,,
,,,Are alternate items of less price?,"No, you will not. We will substitute with a similar or better quality item.

",,,,,
63,Substituition,,How do i know if the item is substituted?,Substituted items will be marked with a sticker to indicate the change. An email will be sent out indicating the substituted product.,,,,,
,,,is my order got substituted?,Substituted items will be marked with a sticker to indicate the change. An email will be sent out indicating the substituted product.,,,,,
64,Substituition,,Do I need to top up the price difference of a higher value item and the substitution service?,"No, we do not charge any additional fees for the item or service.",,,,,
,,,any additional fee for substitution service?,"No, we do not charge any additional fees for the item or service.",,,,,
,,,is there extra charges for substitution service,"No, we do not charge any additional fees for the item or service.",,,,,
65,Substituition,,"I'm not satisfied with the substituted item, can I request a refund/exchange?","No, we do not accept refund/exchange for substituted products. You may submit your feedback or enquiry via the web form.
https://help.fairprice.com.sg/hc/en-us/requests/new",,,,,
,,,Didn't like substitution item,"No, we do not accept refund/exchange for substituted products. You may submit your feedback or enquiry via the web form.
https://help.fairprice.com.sg/hc/en-us/requests/new",,,,,
,,,refund for substitution item,"No, we do not accept refund/exchange for substituted products. You may submit your feedback or enquiry via the web form.
https://help.fairprice.com.sg/hc/en-us/requests/new",,,,,
66,Substituition,,Will I be able to select items in my order to be substituted or be given an option whether to accept the substituted item?,"We do not offer selections and will not be accepting returns for substituted products. You may submit your feedback or enquiry via the web form.
https://help.fairprice.com.sg/hc/en-us/requests/new",,,,,
,,,is substitution items selective?,"We do not offer selections and will not be accepting returns for substituted products. You may submit your feedback or enquiry via the web form.
https://help.fairprice.com.sg/hc/en-us/requests/new",,,,,
,,,can I choose items to be substituted,"We do not offer selections and will not be accepting returns for substituted products. You may submit your feedback or enquiry via the web form.
https://help.fairprice.com.sg/hc/en-us/requests/new",,,,,
67,Substituition,HTML Formatted,How do I opt-in and out for this substitution service?,"You may switch your preferences at the checkout/account page. Click here to switch your preference.

Here’s how to opt in for Substitution
Via Checkout
https://help.fairprice.com.sg/hc/en-us/articles/360055243651-How-do-I-opt-in-and-out-for-this-substitution-service-

Via Account
Substitution of out of stock items - opt in via Accounts

Unable to opt in for Substitution? Don’t worry as we’re working hard to make this feature available for more users! Find out more here.
https://www.fairprice.com.sg/accounts#preferences-substitution",,,,,
,,HTML Formatted,Preferences for substitution service,"You may switch your preferences at the checkout/account page. Click here to switch your preference.

Here’s how to opt in for Substitution
Via Checkout
https://help.fairprice.com.sg/hc/en-us/articles/360055243651-How-do-I-opt-in-and-out-for-this-substitution-service-

Via Account
Substitution of out of stock items - opt in via Accounts

Unable to opt in for Substitution? Don’t worry as we’re working hard to make this feature available for more users! Find out more here.
https://www.fairprice.com.sg/accounts#preferences-substitution",,,,,
,,HTML Formatted,turn off substitution service,"You may switch your preferences at the checkout/account page. Click here to switch your preference.

Here’s how to opt in for Substitution
Via Checkout
https://help.fairprice.com.sg/hc/en-us/articles/360055243651-How-do-I-opt-in-and-out-for-this-substitution-service-

Via Account
Substitution of out of stock items - opt in via Accounts

Unable to opt in for Substitution? Don’t worry as we’re working hard to make this feature available for more users! Find out more here.
https://www.fairprice.com.sg/accounts#preferences-substitution",,,,,
68,Substituition,HTML Formatted,I only knew about the substitution option after check out. Can I still opt in for substitution?,"Yes, the preference indication is also available at account page.

You may switch your preference over here.

 Here’s how to opt in for Substitution
https://help.fairprice.com.sg/hc/en-us/articles/360055244311-I-only-knew-about-the-substitution-option-after-check-out-Can-I-still-opt-in-for-substitution-

 Via Checkout
Substitution of out of stock items - opt in via Checkout
Via Account
Substitution of out of stock items - opt in via Accounts
Unable to opt in for Substitution? Don’t worry as we’re working hard to make this feature available for more users! Find out more here.
https://www.fairprice.com.sg/accounts#preferences

",,,,,
,,HTML Formatted,is substitution option available or possible after I checked out?,"Yes, the preference indication is also available at account page.

You may switch your preference over here.

 Here’s how to opt in for Substitution
https://help.fairprice.com.sg/hc/en-us/articles/360055244311-I-only-knew-about-the-substitution-option-after-check-out-Can-I-still-opt-in-for-substitution-

 Via Checkout
Substitution of out of stock items - opt in via Checkout
Via Account
Substitution of out of stock items - opt in via Accounts
Unable to opt in for Substitution? Don’t worry as we’re working hard to make this feature available for more users! Find out more here.
https://www.fairprice.com.sg/accounts#preferences

",,,,,
69,Substituition,HTML Formatted,Why can't I find the option to opt-in for item substitution?,"The option is now available at account preference/checkout page. Click here to switch your preference.


Here’s how to opt in for Substitution
https://help.fairprice.com.sg/hc/en-us/articles/360054823832-Why-can-t-I-find-the-option-to-opt-in-for-item-substitution-

 
Via Checkout
Substitution of out of stock items - opt in via Checkout
Via Account
Substitution of out of stock items - opt in via Accounts
Unable to opt in for Substitution? Don’t worry as we’re working hard to make this feature available for more users! Find out more here.
https://www.fairprice.com.sg/accounts#preferences-substitution

",,,,,
,,HTML Formatted,unable to see option for item substitution,"The option is now available at account preference/checkout page. Click here to switch your preference.


Here’s how to opt in for Substitution
https://help.fairprice.com.sg/hc/en-us/articles/360054823832-Why-can-t-I-find-the-option-to-opt-in-for-item-substitution-

 
Via Checkout
Substitution of out of stock items - opt in via Checkout
Via Account
Substitution of out of stock items - opt in via Accounts
Unable to opt in for Substitution? Don’t worry as we’re working hard to make this feature available for more users! Find out more here.
https://www.fairprice.com.sg/accounts#preferences-substitution

",,,,,
,,HTML Formatted,where is item substitution option,"The option is now available at account preference/checkout page. Click here to switch your preference.


Here’s how to opt in for Substitution
https://help.fairprice.com.sg/hc/en-us/articles/360054823832-Why-can-t-I-find-the-option-to-opt-in-for-item-substitution-

 
Via Checkout
Substitution of out of stock items - opt in via Checkout
Via Account
Substitution of out of stock items - opt in via Accounts
Unable to opt in for Substitution? Don’t worry as we’re working hard to make this feature available for more users! Find out more here.
https://www.fairprice.com.sg/accounts#preferences-substitution

",,,,,
70,Orders & Payment,,Why am I not receiving One-Time Password (OTP) for my purchases?,"Every order placed with FairPrice Online will go through a thorough payment security risk scanning. If there is no unusual behaviors detected on your account or transaction, OTP process may be omitted.

FairPrice takes cyber security seriously and has put in place several measures to ensure a high level of security being maintained at all times. Please be assured that the security feature does not compromise any processes nor does it put our customers’ payment at risk.",,,,,
,,,I didn't receive any OTP for my purchase,"Every order placed with FairPrice Online will go through a thorough payment security risk scanning. If there is no unusual behaviors detected on your account or transaction, OTP process may be omitted.

FairPrice takes cyber security seriously and has put in place several measures to ensure a high level of security being maintained at all times. Please be assured that the security feature does not compromise any processes nor does it put our customers’ payment at risk.",,,,,
,,,Where is my OTP?,"Every order placed with FairPrice Online will go through a thorough payment security risk scanning. If there is no unusual behaviors detected on your account or transaction, OTP process may be omitted.

FairPrice takes cyber security seriously and has put in place several measures to ensure a high level of security being maintained at all times. Please be assured that the security feature does not compromise any processes nor does it put our customers’ payment at risk.",,,,,
,,,My OTP is missing,"Every order placed with FairPrice Online will go through a thorough payment security risk scanning. If there is no unusual behaviors detected on your account or transaction, OTP process may be omitted.

FairPrice takes cyber security seriously and has put in place several measures to ensure a high level of security being maintained at all times. Please be assured that the security feature does not compromise any processes nor does it put our customers’ payment at risk.",,,,,
75,Orders & Payment,,How do I place an order?,"After you have completed your shopping, confirm that you wish to buy the items in your cart by proceeding to checkout.

Select your preferred service: Home Delivery, then choose a payment method before reviewing and confirming your purchase. An order acknowledgement will be sent to your email.",,,,,
,,,How do I make a purchase?,"After you have completed your shopping, confirm that you wish to buy the items in your cart by proceeding to checkout.

Select your preferred service: Home Delivery, then choose a payment method before reviewing and confirming your purchase. An order acknowledgement will be sent to your email.",,,,,
,,,How to put an order online?,"After you have completed your shopping, confirm that you wish to buy the items in your cart by proceeding to checkout.

Select your preferred service: Home Delivery, then choose a payment method before reviewing and confirming your purchase. An order acknowledgement will be sent to your email.",,,,,
76,Orders & Payment,,How do I know if my order is confirmed?,"Once an order is submitted, you'll receive an email acknowledgement. An invoice will be sent to you after the order has been delivered.",,,,,
