S/N,Category,Question/Article,Answer,Removed,URL,https://help.fairprice.com.sg/hc/en-us/sections/360002889391-Top-FAQs-for-FairPrice-Online
14,Account,How do I add or delete my credit/debit card details?,"You can add or delete your credit/debit card by following the below steps.

Add via app

https://help.fairprice.com.sg/hc/en-us/articles/360042437931-How-do-I-add-or-delete-my-credit-debit-card-details-

Delete via app

https://help.fairprice.com.sg/hc/en-us/articles/360042437931-How-do-I-add-or-delete-my-credit-debit-card-details-

Via desktop

1. Click on ""Account""

2. Click on ""Payment"" and ""Add payment method""

3. Enter your credit/debit card details and click ""Add Card""

4. You can remove by doing a mouse over on the 3 dots for the specific credit card and click ""Delete"" 

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360042437931-How-do-I-add-or-delete-my-credit-debit-card-details-",,,
,,add details of new credit / debit card,"You can add or delete your credit/debit card by following the below steps.

Add via app

https://help.fairprice.com.sg/hc/en-us/articles/360042437931-How-do-I-add-or-delete-my-credit-debit-card-details-

Delete via app

https://help.fairprice.com.sg/hc/en-us/articles/360042437931-How-do-I-add-or-delete-my-credit-debit-card-details-

Via desktop

1. Click on ""Account""

2. Click on ""Payment"" and ""Add payment method""

3. Enter your credit/debit card details and click ""Add Card""

4. You can remove by doing a mouse over on the 3 dots for the specific credit card and click ""Delete"" 

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360042437931-How-do-I-add-or-delete-my-credit-debit-card-details-",,,
,,I like to change my credit card details,"You can add or delete your credit/debit card by following the below steps.

Add via app

https://help.fairprice.com.sg/hc/en-us/articles/360042437931-How-do-I-add-or-delete-my-credit-debit-card-details-

Delete via app

https://help.fairprice.com.sg/hc/en-us/articles/360042437931-How-do-I-add-or-delete-my-credit-debit-card-details-

Via desktop

1. Click on ""Account""

2. Click on ""Payment"" and ""Add payment method""

3. Enter your credit/debit card details and click ""Add Card""

4. You can remove by doing a mouse over on the 3 dots for the specific credit card and click ""Delete"" 

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360042437931-How-do-I-add-or-delete-my-credit-debit-card-details-",,,
15,Account,How do I add a new address?,"You can add a new address by following the below steps.

Via app
https://help.fairprice.com.sg/hc/en-us/articles/360042021672-How-do-I-add-a-new-address-

Via desktop

1. Click on ""Account""
2. Click on ""Address"" and ""Add address""
3. Enter the postal code
4. Enter your address details and click ""Add address""",,https://help.fairprice.com.sg/hc/en-us/articles/360042021672-How-do-I-add-a-new-address-,
,,change address in my account,"You can add a new address by following the below steps.

Via app
https://help.fairprice.com.sg/hc/en-us/articles/360042021672-How-do-I-add-a-new-address-

Via desktop

1. Click on ""Account""
2. Click on ""Address"" and ""Add address""
3. Enter the postal code
4. Enter your address details and click ""Add address""",,,
,,modify my address mentioned in account,"You can add a new address by following the below steps.

Via app
https://help.fairprice.com.sg/hc/en-us/articles/360042021672-How-do-I-add-a-new-address-

Via desktop

1. Click on ""Account""
2. Click on ""Address"" and ""Add address""
3. Enter the postal code
4. Enter your address details and click ""Add address""",,,
16,Account,How do I change my profile details and/or password?,"You can change your profile details following the below steps.

Via app
https://help.fairprice.com.sg/hc/en-us/articles/360042021592-How-do-I-change-my-profile-details-and-or-password-

Via desktop

1. Click on ""Account""
2. Click on ""Manage profile""
From there, you will be able to change your ""Preferred name"", ""Mobile number"", ""Email"" and ""Password"".

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360042021592-How-do-I-change-my-profile-details-and-or-password-",,,
,,add/delete info in my profile,"You can change your profile details following the below steps.

Via app
https://help.fairprice.com.sg/hc/en-us/articles/360042021592-How-do-I-change-my-profile-details-and-or-password-

Via desktop

1. Click on ""Account""
2. Click on ""Manage profile""
From there, you will be able to change your ""Preferred name"", ""Mobile number"", ""Email"" and ""Password"".

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360042021592-How-do-I-change-my-profile-details-and-or-password-",,,
,,How do I change my profile info?,"You can change your profile details following the below steps.

Via app
https://help.fairprice.com.sg/hc/en-us/articles/360042021592-How-do-I-change-my-profile-details-and-or-password-

Via desktop

1. Click on ""Account""
2. Click on ""Manage profile""
From there, you will be able to change your ""Preferred name"", ""Mobile number"", ""Email"" and ""Password"".

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360042021592-How-do-I-change-my-profile-details-and-or-password-",,,
,,How do I update my profile information?,"You can change your profile details following the below steps.

Via app
https://help.fairprice.com.sg/hc/en-us/articles/360042021592-How-do-I-change-my-profile-details-and-or-password-

Via desktop

1. Click on ""Account""
2. Click on ""Manage profile""
From there, you will be able to change your ""Preferred name"", ""Mobile number"", ""Email"" and ""Password"".

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360042021592-How-do-I-change-my-profile-details-and-or-password-",,,
19,Account,How do I sign up for an account,"You can sign up for an account either by desktop or app.

Via app
https://help.fairprice.com.sg/hc/en-us/articles/360021634372-How-do-I-sign-up-for-an-account-

 Via desktop

1. Visit our FairPrice website
2. Click ""Login""
3. Enter your email address and click ""Next""
 4: Enter your profile details and click ""Submit""

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021634372-How-do-I-sign-up-for-an-account-",,,
,,How do I create an account?,"You can sign up for an account either by desktop or app.

Via app
https://help.fairprice.com.sg/hc/en-us/articles/360021634372-How-do-I-sign-up-for-an-account-

 Via desktop

1. Visit our FairPrice website
2. Click ""Login""
3. Enter your email address and click ""Next""
 4: Enter your profile details and click ""Submit""

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021634372-How-do-I-sign-up-for-an-account-",,,
20,Account,Why cant i log into my account?,"If you have entered the right email address and are unable to log in, tap on ""Forget Password"" on the Login Page. Follow the instructions to reset your password and log in with your new login details.

If this does not resolve the issue, please send us a screenshot of the error message via the web form.
https://help.fairprice.com.sg/hc/en-us/requests/new",,,
,,I cannot sign in my account,"If you have entered the right email address and are unable to log in, tap on ""Forget Password"" on the Login Page. Follow the instructions to reset your password and log in with your new login details.

If this does not resolve the issue, please send us a screenshot of the error message via the web form.
https://help.fairprice.com.sg/hc/en-us/requests/new",,,
21,Account,I forgot my password and can't log in. What should I do?,"If you have entered the right email address and are unable to log in, tap on ""Forget Password"" on the log in page, follow the steps below to reset your password.

1. On the Log in page, tap on ""Forgot Password""
2. Enter the email address and click ""Send reset link""
3. Check your email for a Reset Password link sent to you.
4. Enter your new password in the ""New Password"". Enter the same password in the ""Confirm Password"" field for confirmation. Click ""Reset Password""
5. Go to fairprice.com.sg to log in with your email address and new password! You've successfully reset your password!",,,
,,How to reset password?,"If you have entered the right email address and are unable to log in, tap on ""Forget Password"" on the log in page, follow the steps below to reset your password.

1. On the Log in page, tap on ""Forgot Password""
2. Enter the email address and click ""Send reset link""
3. Check your email for a Reset Password link sent to you.
4. Enter your new password in the ""New Password"". Enter the same password in the ""Confirm Password"" field for confirmation. Click ""Reset Password""
5. Go to fairprice.com.sg to log in with your email address and new password! You've successfully reset your password!",,,
22,Account,What is Vulnerability Disclosure?,"Vulnerability disclosure is the practice of reporting security vulnerabilities (i.e. flaws or weaknesses) in computer software or hardware.

As part of our commitment to provide a secure environment for the general public and customers using our online services, we have established a Vulnerability Disclosure Programme (VDP), for the community to report security vulnerabilities. We will be glad to hear from you if you encounter security vulnerabilities when accessing our online services.

For more information on the Programme and how to report a vulnerability, please visit our VDP policy page here, 
https://www.ntucenterprise.sg/contactus/vulnerability-disclosure-programme/
",,https://www.ntucenterprise.sg/contactus/vulnerability-disclosure-programme/,
23,Shop,"What are service options, and how do I change service options?","Service options gives you greater flexibility when shopping for groceries. Choose your preferred way of shopping:

If you need an item urgently, Fast & Fresh offers you a selection of products available for 2-hour express delivery. It also carries a wider variety of fresh products.

If you’re looking for a larger assortment of products, cartons and Marketplace items, Cartons & Variety is the service option for you.

You can change the service options with the below steps.

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360046937752-What-are-service-options-and-how-do-I-change-service-options-",,,
,,difficulty with service options,"Service options gives you greater flexibility when shopping for groceries. Choose your preferred way of shopping:

If you need an item urgently, Fast & Fresh offers you a selection of products available for 2-hour express delivery. It also carries a wider variety of fresh products.

If you’re looking for a larger assortment of products, cartons and Marketplace items, Cartons & Variety is the service option for you.

You can change the service options with the below steps.

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360046937752-What-are-service-options-and-how-do-I-change-service-options-",,,
24,Shop,How do I get my items back after switching options?,"Unfortunately, it’s not possible to switch stores. Kindly add your favourite items to a shopping list for easy future checkouts.",,,
25,Shop,Can I change my service options along the way? What happens when I do that?,"Yes. When you switch service options, items in your cart that are not available via the new service will be removed.

You can switch your preferred method of shopping with the following steps:

Step 1: Tap into the delivery address bar
Step 2: Select your preferred method of shopping",,,
,,modify service options during purchase,"Yes. When you switch service options, items in your cart that are not available via the new service will be removed.

You can switch your preferred method of shopping with the following steps:

Step 1: Tap into the delivery address bar
Step 2: Select your preferred method of shopping",,,
26,Shop,Can i change my service options at checkout?,"No, service options can only be switched before checkout.",,,
,,How to change my service options after checkout?,"No, service options can only be switched before checkout.",,,
27,Shop,"At times, i cannot see the service options",Service options are only available at selected locations based on certain postal codes.,,,
,,Where can I find the service options?,Service options are only available at selected locations based on certain postal codes.,,,
,,Why are the service options not available?,Service options are only available at selected locations based on certain postal codes.,,,
28,Shop,Do I have to pay additional fees to use either service option?,No additional fees will be charged,,,
29,Shop,Will my shopping cart be lost if I close the window before checking out?,"No, your shopping cart will not be lost. You can retrieve your shopping cart by signing in again.",,,
,,shopping cart progress saved?,"No, your shopping cart will not be lost. You can retrieve your shopping cart by signing in again.",,,
30,Shop,How do i check out?,"Once you have finished shopping, click on the ""Proceed to checkout"" button on the right hand side of the shopping cart page.",,,
,,where to click to checkout?,"Once you have finished shopping, click on the ""Proceed to checkout"" button on the right hand side of the shopping cart page.",,,
31,Shop,"How do i create ""Shopping lists"" and use them?","You can create shopping lists with the below steps.

 You can now amend your list by adding items while shopping or removing items via your shopping list page.

You can also add an item into the shopping cart on your shopping list page.

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021636752-How-do-I-create-Shopping-Lists-and-use-them-",,,
,,make shopping lists,"You can create shopping lists with the below steps.

 You can now amend your list by adding items while shopping or removing items via your shopping list page.

You can also add an item into the shopping cart on your shopping list page.

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021636752-How-do-I-create-Shopping-Lists-and-use-them-",,,
32,Shop,Why is the page not loaded properly?,"Please check and install the latest version of your web browser. Our FairPrice Online website is best viewed with Internet Explorer 11 & Edge, Firefox 50+, Google Chrome 50+ and Safari 10+.

If you are using Windows and would like to find out which version of Internet Explorer you are using, please open Internet Explorer and click the Tools icon found at the top right corner of the browser. For older versions of Internet Explorer, click on the Help button found on the menu bar.

If the problem persists, please upload the error message screenshots via the web form below
https://help.fairprice.com.sg/hc/en-us/requests/new",,https://help.fairprice.com.sg/hc/en-us/requests/new,
,,issue with page loading correctly?,"Please check and install the latest version of your web browser. Our FairPrice Online website is best viewed with Internet Explorer 11 & Edge, Firefox 50+, Google Chrome 50+ and Safari 10+.

If you are using Windows and would like to find out which version of Internet Explorer you are using, please open Internet Explorer and click the Tools icon found at the top right corner of the browser. For older versions of Internet Explorer, click on the Help button found on the menu bar.

If the problem persists, please upload the error message screenshots via the web form below
https://help.fairprice.com.sg/hc/en-us/requests/new",,,
33,Promotion and Promo Codes,Which products are not eligible for promo codes discounts?,Stage 1 (0-6 months) and Stage 2 (6-12 months) formula milk powder are not eligible for promo code discounts as they are considered to be ‘Infant Milk’. This is according to new Sale of Infant Foods Ethics Committee Singapore (SIFECS) guidelines.,,,
,,What products are eligible for promo codes?,Stage 1 (0-6 months) and Stage 2 (6-12 months) formula milk powder are not eligible for promo code discounts as they are considered to be ‘Infant Milk’. This is according to new Sale of Infant Foods Ethics Committee Singapore (SIFECS) guidelines.,,,
34,Promotion and Promo Codes,How do I enjoy the promo for $30 off 4 purchases?,"You can receive up to 7 promo codes in total ($10*, $5*+ $4^, $5 + $4^, $10*+ $4^) with this promotion. To receive these promo codes, you must be a new customer online at FairPrice as of 20 Feb 2023. 

Here’s how it works:

Create your FairPrice account online
Note: You have to check the box and consent to marketing communications if you want to receive these promo codes and future discounts.
Your first promo code for $10* and further details will be emailed to you within the same day.
Your second promo code for $5*, with an additional $4^ off to waive off the $3.99 service fee, will be emailed to you after you make your first purchase. 
Your third promo code for $5*,  with an additional $4^ off to waive off the $3.99 service fee, will be emailed to you after you make your second purchase. 
Your fourth promo code for $10*, with an additional $4^ off to waive off the $3.99 service fee, will be emailed to you after you make your third purchase.
*$10 off minimum $59 spend, $5 off minimum $79 spend.

^$4 off minimum $59 spend.",,,
,,use 30 off 4 orders promo,"You can receive up to 7 promo codes in total ($10*, $5*+ $4^, $5 + $4^, $10*+ $4^) with this promotion. To receive these promo codes, you must be a new customer online at FairPrice as of 20 Feb 2023. 

Here’s how it works:

Create your FairPrice account online
Note: You have to check the box and consent to marketing communications if you want to receive these promo codes and future discounts.
Your first promo code for $10* and further details will be emailed to you within the same day.
Your second promo code for $5*, with an additional $4^ off to waive off the $3.99 service fee, will be emailed to you after you make your first purchase. 
Your third promo code for $5*,  with an additional $4^ off to waive off the $3.99 service fee, will be emailed to you after you make your second purchase. 
Your fourth promo code for $10*, with an additional $4^ off to waive off the $3.99 service fee, will be emailed to you after you make your third purchase.
*$10 off minimum $59 spend, $5 off minimum $79 spend.

^$4 off minimum $59 spend.",,,
35,Promotion and Promo Codes,"I created my account, but I did not receive an email with a promo code.","We will email you your promo code within 24 hours of your registration. If you do not receive the confirmation by then, it's possible that you opted not to receive marketing communications when registering your account.

For further assistance to redeem your promo codes, please submit your query via the form below
https://help.fairprice.com.sg/hc/en-us/requests/new",,https://help.fairprice.com.sg/hc/en-us/requests/new,
,,no email with promo after sign up,"We will email you your promo code within 24 hours of your registration. If you do not receive the confirmation by then, it's possible that you opted not to receive marketing communications when registering your account.

For further assistance to redeem your promo codes, please submit your query via the form below
https://help.fairprice.com.sg/hc/en-us/requests/new",,,
36,Promotion and Promo Codes,How do i use my promo code? ,"Please log into your account before applying any promo code and key in your promo code at the shopping cart. 

You may wish to check that your promo code is reflected before checking out.   

Promo codes will only apply when minimum spend amount or criteria is met for eligible customers. For full T&C, please click here and do a keyword search on the specific campaign. An illustration is attached below.
https://help.fairprice.com.sg/hc/en-us/sections/360003810592-Terms-Conditions-

For further assistance, please submit your query via the web form. 
https://help.fairprice.com.sg/hc/en-us/requests/new

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021859771-How-do-I-use-my-promo-code-",,https://help.fairprice.com.sg/hc/en-us/sections/360003810592-Terms-Conditions-,
,,Where to key in promo code?,"Please log into your account before applying any promo code and key in your promo code at the shopping cart. 

You may wish to check that your promo code is reflected before checking out.   

Promo codes will only apply when minimum spend amount or criteria is met for eligible customers. For full T&C, please click here and do a keyword search on the specific campaign. An illustration is attached below.
https://help.fairprice.com.sg/hc/en-us/sections/360003810592-Terms-Conditions-

For further assistance, please submit your query via the web form. 
https://help.fairprice.com.sg/hc/en-us/requests/new

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021859771-How-do-I-use-my-promo-code-",,,
,,How to apply promo code?,"Please log into your account before applying any promo code and key in your promo code at the shopping cart. 

You may wish to check that your promo code is reflected before checking out.   

Promo codes will only apply when minimum spend amount or criteria is met for eligible customers. For full T&C, please click here and do a keyword search on the specific campaign. An illustration is attached below.
https://help.fairprice.com.sg/hc/en-us/sections/360003810592-Terms-Conditions-

For further assistance, please submit your query via the web form. 
https://help.fairprice.com.sg/hc/en-us/requests/new

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021859771-How-do-I-use-my-promo-code-",,,
37,Promotion and Promo Codes,Why am i receiving error messages when applying my promo code?,"Please ensure that the following conditions are met:

1. To sign in to your account prior to applying the promo code

2. The minimum spend is met (excluding shipping fee)

3. No other promo codes applied

4. Excludes Stage 1 & 2 infant milk products in the cart

5. Code cannot be used for click & collect orders

6. Use of appropriate credit card for card related promotion

If the above are met and still facing an error message, please send us screenshots of your shopping cart and the error message via the web form.
https://help.fairprice.com.sg/hc/en-us/requests/new",,https://help.fairprice.com.sg/hc/en-us/requests/new,
,,error message while using promo code,"Please ensure that the following conditions are met:

1. To sign in to your account prior to applying the promo code

2. The minimum spend is met (excluding shipping fee)

3. No other promo codes applied

4. Excludes Stage 1 & 2 infant milk products in the cart

5. Code cannot be used for click & collect orders

6. Use of appropriate credit card for card related promotion

If the above are met and still facing an error message, please send us screenshots of your shopping cart and the error message via the web form.
https://help.fairprice.com.sg/hc/en-us/requests/new",,,
38,Promotion and Promo Codes,What happens when my promo code expires?,It is no longer applicable and will not be extended after the stated expiry date.,,,
,,"My promo code expired, can i still use it?",It is no longer applicable and will not be extended after the stated expiry date.,,,
,,Can I still use an expired promo code?,It is no longer applicable and will not be extended after the stated expiry date.,,,
39,Promotion and Promo Codes,Do promo codes discount apply to delivery fees and service fees?,Discount promo codes only apply to the sub-total amount (cart value) and not to Home Delivery fees.,,,
40,Promotion and Promo Codes,"Can I get the Seniors Discount, Pioneer Generation discount or the Merdeka Generation discount?","Seniors, Pioneer Generation and Merdeka Generation discounts aren't available online as customers have to be physically present for verification.",,,
41,Promotion and Promo Codes,"I saw the free gift in my cart, but it was not shown in my order acknowledgement email. What do I do?","Please check that your order did not include purchase of Stage 1 infant milk powder and that you had purchased participating products. Otherwise, the free gift may be fully redeemed at point of check out.

If you still require assistance, please submit your feedback via our web form.",,https://help.fairprice.com.sg/hc/en-us/requests/new,
,,no info related to free gift in order email,"Please check that your order did not include purchase of Stage 1 infant milk powder and that you had purchased participating products. Otherwise, the free gift may be fully redeemed at point of check out.

If you still require assistance, please submit your feedback via our web form.",,,
42,Promotion and Promo Codes,Are the prices of items on FairPrice Online and at FairPrice stores the same?,"The prices are the same except when there are exclusive promotions that are only available at FairPrice, FairPrice Finest, FairPrice Xtra and/or FairPrice Online.",,,
,,online vs stores prices,"The prices are the same except when there are exclusive promotions that are only available at FairPrice, FairPrice Finest, FairPrice Xtra and/or FairPrice Online.",,,
43,Promotion and Promo Codes,How do i find special promotions and discounts?,"You can browse our latest deals and promotions by going to the top of the menu on the left side of the homepage.

Look out for our Hot Deals This Week, Category Specials and Brands on Promotion.",,,
,,Where to look for special promotions and discounts?,"You can browse our latest deals and promotions by going to the top of the menu on the left side of the homepage.

Look out for our Hot Deals This Week, Category Specials and Brands on Promotion.",,,
44,Promotion and Promo Codes,What are the regular promotions and discounts?,"(i) Purchase With Purchase (PWP):

• This promotion allows you to purchase featured products at special prices for S$25 spent, of non PWP item, in a single order.
• Customers are limited to 4 units of each featured product per order.
• This promotion is also valid in stores.

(ii) Must Buy (MB):

• This promotion features a selected range of products that are on offer every week.

• Customers are limited to 6 units of each item per order.

• This promotion is also valid in stores.",,,
45,Promotion and Promo Codes,What time will promotions with start date be effective?,"For promotions with effective start dates, they will be available to customers from 0600hrs onwards.

Should there be a slight delay in its launch, we advise you to check back a few hours later.",,,
,,on which date promotion will start,"For promotions with effective start dates, they will be available to customers from 0600hrs onwards.

Should there be a slight delay in its launch, we advise you to check back a few hours later.",,,
,,How to check the promotion start date and time?,"For promotions with effective start dates, they will be available to customers from 0600hrs onwards.

Should there be a slight delay in its launch, we advise you to check back a few hours later.",,,
46,Marketplace,What is the Marketplace about?,"Marketplace is a platform created within FairPrice Online to enable local independent business partners to showcase niche products from Singapore and all over the world. Leveraging our online platform, FairPrice business partners sell their products directly to you. ",,,
47,Marketplace,How do I identify Marketplace items?,"Every time you navigate to a Marketplace product, you’ll see the seller’s store information on the right of the product description.

At the home page, you can also navigate to the  Marketplace product homepage under Highlights. 

https://help.fairprice.com.sg/hc/en-us/articles/4406593604761-How-do-I-identify-Marketplace-Items-",,,
,,where to find marketplace items,"Every time you navigate to a Marketplace product, you’ll see the seller’s store information on the right of the product description.

At the home page, you can also navigate to the  Marketplace product homepage under Highlights. 

https://help.fairprice.com.sg/hc/en-us/articles/4406593604761-How-do-I-identify-Marketplace-Items-",,,
48,Marketplace,When do I receive my Marketplace items?,"As the Marketplace products are sold by sellers, we need more time to arrange for the products to be delivered to you. The earliest delivery date is between 2 to 4 days later depending on the seller orders placed date and seller availability. Should you add a Marketplace item to your cart, you’ll see a pop-up message indicating the earliest delivery date.

https://help.fairprice.com.sg/hc/en-us/articles/4406594716441-When-do-I-receive-my-Marketplace-items-",,,
,,when the marketplace item be delivered,"As the Marketplace products are sold by sellers, we need more time to arrange for the products to be delivered to you. The earliest delivery date is between 2 to 4 days later depending on the seller orders placed date and seller availability. Should you add a Marketplace item to your cart, you’ll see a pop-up message indicating the earliest delivery date.

https://help.fairprice.com.sg/hc/en-us/articles/4406594716441-When-do-I-receive-my-Marketplace-items-",,,
49,Marketplace,How are Marketplace items being transported to FairPrice?,"Once the order has been placed, the items will be picked up from our business partners, a day before your scheduled delivery date/time.",,,
,,How Marketplace items logistics works?,"Once the order has been placed, the items will be picked up from our business partners, a day before your scheduled delivery date/time.",,,
50,Marketplace,Is Marketplace wine entitled for a Just Wine Club discount?,Marketplace wine products are not eligible for JWC discount,,,
51,Marketplace,Can I contact the seller for any product information?,"Please submit a request via the steps below for our customer service team to assist further. 

Step 1: Click here to go to our help centre. 

Step 2: Select ""I need help with other issues"" 

Step 3: Click on ""Product Enquiry"" for drop down and choose ""Request for Product Info"" 

Step 4: Write your comments under ""Tell us more"" and you may attach any photos if necessary.

",,,
,,reach out to seller directly for queries,"Please submit a request via the steps below for our customer service team to assist further. 

Step 1: Click here to go to our help centre. 

Step 2: Select ""I need help with other issues"" 

Step 3: Click on ""Product Enquiry"" for drop down and choose ""Request for Product Info"" 

Step 4: Write your comments under ""Tell us more"" and you may attach any photos if necessary.

",,,
52,Marketplace,How do I submit order issues relating to Marketplace items?,"Our sincere apologies. Please report the issue within 7 days of delivery for us to look into the matter. You may refer to this article for the steps to report via the web form. 
https://help.fairprice.com.sg/hc/en-us/articles/360021636552-How-do-I-submit-feedback-through-the-webform-",,https://help.fairprice.com.sg/hc/en-us/articles/360021636552-How-do-I-submit-feedback-through-the-webform-,
,,problem related to marketplae item order,"Our sincere apologies. Please report the issue within 7 days of delivery for us to look into the matter. You may refer to this article for the steps to report via the web form. 
https://help.fairprice.com.sg/hc/en-us/articles/360021636552-How-do-I-submit-feedback-through-the-webform-",,,
53,Marketplace,Can I change the delivery date for my orders? Will my Marketplace items be affected?,"Marketplace items are pre-ordered items from our sellers. Amendment to an earlier date will not be available as we need to consolidate and deliver them to you.

To postpone the delivery date for home deliveries, you may inform us at least 24 hours before the scheduled delivery. Beyond 24 hours, there will be a charge of $7 for the amendment. For bulk orders, there is a fee of $30 to make the change and will be charged to the same credit card that was used.

Do note that the delivery date can be postponed only up to 7 days later and is only allowed a one-time amendment. Should you require further amendment, please cancel the order and place a new one.  

Please submit your request via the web form.
https://help.fairprice.com.sg/hc/en-us/requests/new",,https://help.fairprice.com.sg/hc/en-us  ,
,,modification in delivery date of Marketplace items ,"Marketplace items are pre-ordered items from our sellers. Amendment to an earlier date will not be available as we need to consolidate and deliver them to you.

To postpone the delivery date for home deliveries, you may inform us at least 24 hours before the scheduled delivery. Beyond 24 hours, there will be a charge of $7 for the amendment. For bulk orders, there is a fee of $30 to make the change and will be charged to the same credit card that was used.

Do note that the delivery date can be postponed only up to 7 days later and is only allowed a one-time amendment. Should you require further amendment, please cancel the order and place a new one.  

Please submit your request via the web form.
https://help.fairprice.com.sg/hc/en-us/requests/new",,,
54,Direct Fulfilment from Sellers,Where do I see and track the status of my orders?,"You may view the status of your order via the order history page. Go under My Account -> Orders. 
If you have ordered from Direct Fulfilled Marketplace sellers, your items will be grouped under the respective deliveries from each seller. 
",,,
,,what is my order status?,"You may view the status of your order via the order history page. Go under My Account -> Orders. 
If you have ordered from Direct Fulfilled Marketplace sellers, your items will be grouped under the respective deliveries from each seller. 
",,,
,,Have my orders been shipped?,"You may view the status of your order via the order history page. Go under My Account -> Orders. 
If you have ordered from Direct Fulfilled Marketplace sellers, your items will be grouped under the respective deliveries from each seller. 
",,,
,,When is the estimated delivery time for my orders?,"You may view the status of your order via the order history page. Go under My Account -> Orders. 
If you have ordered from Direct Fulfilled Marketplace sellers, your items will be grouped under the respective deliveries from each seller. 
",,,
55,Direct Fulfilment from Sellers,"How do I know if an item is a Direct Fulfiled Marketplace item or not?
","Direct Fulfiled (DF) Marketplace items can be identified at the shopping cart and checkout pages. 
In the shopping cart page, DF items will be separated from the FairPrice-fulfiled items. They will be grouped according to the sellers. And you will be able to see the different grouping sections with the seller headers such as below:
",,,
,,DF Marketplace item,"Direct Fulfiled (DF) Marketplace items can be identified at the shopping cart and checkout pages. 
In the shopping cart page, DF items will be separated from the FairPrice-fulfiled items. They will be grouped according to the sellers. And you will be able to see the different grouping sections with the seller headers such as below:
",,,
56,Direct Fulfilment from Sellers,"Why do Direct Fulfiled Marketplace items have different delivery charges than others?
","For Direct Fulfiled Marketplace deliveries, you can also retrieve the tracking code by clicking on the individual delivery tile. Simply tap ‘Track Delivery’ and you will be directed to the external courier tracking site. Alternatively, you may copy paste the tracking code under the ‘Tracking’ field.",,,
,,will delivery fee for Direct Fulfiled Marketplace items is different,"For Direct Fulfiled Marketplace deliveries, you can also retrieve the tracking code by clicking on the individual delivery tile. Simply tap ‘Track Delivery’ and you will be directed to the external courier tracking site. Alternatively, you may copy paste the tracking code under the ‘Tracking’ field.",,,
57,Direct Fulfilment from Sellers,"How do I cancel delivery from the seller? 
","Cancellation requests must be submitted to us at least 24 hours prior to the delivery date. Otherwise, there will be a $10 cancellation charge (incl. GST).

For bulk orders, cancellation after the order confirmation is subjected to a surcharge of $30 (incl. GST).

If you have applied promo code to the order, the promo code can be reused after the order is cancelled. Please apply it on a new order before the original expiry date. 
",,,
58,Direct Fulfilment from Sellers,How can I make changes to the delivery order from seller eg. remove items or change delivery slot/time? ,"Due to the logistical arrangements involved, amendments to items or delivery/time slots for Direct Fulfiled Marketplace items will not be allowed. If the items are no longer needed, please cancel the whole delivery from the seller at least 24 hours before the scheduled delivery date to avoid charges. 
",,,
,,amendments in order from seller,"Due to the logistical arrangements involved, amendments to items or delivery/time slots for Direct Fulfiled Marketplace items will not be allowed. If the items are no longer needed, please cancel the whole delivery from the seller at least 24 hours before the scheduled delivery date to avoid charges. 
",,,
,,modification in Direct Fulfilment order  ,"Due to the logistical arrangements involved, amendments to items or delivery/time slots for Direct Fulfiled Marketplace items will not be allowed. If the items are no longer needed, please cancel the whole delivery from the seller at least 24 hours before the scheduled delivery date to avoid charges. 
",,,
59,Direct Fulfilment from Sellers,"What happens when I am not home when the delivery person arrives?
","Ninjavan will re-attempt delivery the following 3 business days (up to 3 times) starting from the next day at the same customer delivery slot window.
",,,
,,will you resend my order if I didn't collect it,"Ninjavan will re-attempt delivery the following 3 business days (up to 3 times) starting from the next day at the same customer delivery slot window.
",,,
60,Direct Fulfilment from Sellers,"The seller canceled my order after I placed it, how do I get a refund?
","We apologise for the order cancellation. You will be notified via email of the order cancellation and rest assured that you will not be charged for unavailable items. When you first place the order, your bank holds the amount until the transaction is completed. This holding amount will not be charged to your card.

The final amount charged will be lesser than the holding amount and in accordance with the final invoice.Kindly note that duration of time for the refund to be processed and credited back into account will depend on each bank.
",,,
,,When I'll get my payment back after seller cancel my  order,"We apologise for the order cancellation. You will be notified via email of the order cancellation and rest assured that you will not be charged for unavailable items. When you first place the order, your bank holds the amount until the transaction is completed. This holding amount will not be charged to your card.

The final amount charged will be lesser than the holding amount and in accordance with the final invoice.Kindly note that duration of time for the refund to be processed and credited back into account will depend on each bank.
",,,
